full_geoid,state,name,wiki_url
05000US02188,AK,Northwest Arctic Borough,"https://en.wikipedia.org/wiki/Northwest_Arctic_Borough,_Alaska"
05000US02195,AK,Petersburg Census Area,"https://en.wikipedia.org/wiki/Petersburg_Census_Area,_Alaska"
05000US02198,AK,Prince of Wales-Hyder Census Area,"https://en.wikipedia.org/wiki/Prince_of_Wales-Hyder_Census_Area,_Alaska"
05000US02220,AK,Sitka City and Borough,"https://en.wikipedia.org/wiki/Sitka,_Alaska"
05000US02230,AK,Skagway Municipality,"https://en.wikipedia.org/wiki/Skagway,_Alaska"
05000US02240,AK,Southeast Fairbanks Census Area,"https://en.wikipedia.org/wiki/Southeast_Fairbanks_Census_Area,_Alaska"
05000US02261,AK,Valdez-Cordova Census Area,"https://en.wikipedia.org/wiki/Valdez-Cordova_Census_Area,_Alaska"
05000US02270,AK,Wade Hampton Census Area,"https://en.wikipedia.org/wiki/Wade_Hampton_Census_Area,_Alaska"
05000US02275,AK,Wrangell City and Borough,"https://en.wikipedia.org/wiki/Wrangell,_Alaska"
05000US02282,AK,Yakutat City and Borough,"https://en.wikipedia.org/wiki/Yakutat,_Alaska"
05000US02290,AK,Yukon-Koyukuk Census Area,"https://en.wikipedia.org/wiki/Yukon-Koyukuk_Census_Area,_Alaska"
05000US04001,AZ,Apache County,"https://en.wikipedia.org/wiki/Apache_County,_Arizona"
05000US04003,AZ,Cochise County,"https://en.wikipedia.org/wiki/Cochise_County,_Arizona"
05000US04005,AZ,Coconino County,"https://en.wikipedia.org/wiki/Coconino_County,_Arizona"
05000US04007,AZ,Gila County,"https://en.wikipedia.org/wiki/Gila_County,_Arizona"
05000US04009,AZ,Graham County,"https://en.wikipedia.org/wiki/Graham_County,_Arizona"
05000US04011,AZ,Greenlee County,"https://en.wikipedia.org/wiki/Greenlee_County,_Arizona"
05000US04012,AZ,La Paz County,"https://en.wikipedia.org/wiki/La_Paz_County,_Arizona"
05000US04013,AZ,Maricopa County,"https://en.wikipedia.org/wiki/Maricopa_County,_Arizona"
